event_id,category_id,title,closed,link
EONET_19834,wildfires,"Pressey Wildfire, Cherry, Nebraska",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_19834
EONET_19845,wildfires,"Lone Pine Wildfire, Becker, Minnesota",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_19845
EONET_19850,wildfires,"Wells Rd Unit 1 RX Prescribed Fire, Iosco, Michigan",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_19850
EONET_19835,wildfires,"COW CREEK Wildfire, Levy, Florida",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_19835
EONET_19854,wildfires,"rx-73 Prescribed Fire, Burnett, Wisconsin",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_19854
EONET_19836,wildfires,"MM-45- Broward (06) Wildfire, Broward, Florida",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_19836
EONET_19908,wildfires,"Hummingbird Wildfire, Catron, New Mexico",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_19908
EONET_19831,wildfires,"Hwy 82 Wildfire, Brantley, Georgia",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_19831
EONET_20005,wildfires,"Cedar Cabin - RX Prescribed Fire, Butte, Idaho",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_20005
EONET_19846,wildfires,"DeSoto BB 9370 C507 508 509 RX Prescribed Fire, Jackson, Mississippi",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_19846
EONET_19852,wildfires,"RX CALE BU 44-367 Prescribed Fire, Rapides, Louisiana",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_19852
EONET_19833,wildfires,"East Side Wildfire, Carbon, Montana",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_19833
EONET_19849,wildfires,"Hansen WPA RX Prescribed Fire, Clay, Nebraska",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_19849
EONET_19858,wildfires,"Krause RX Prescribed Fire, Fillmore, Nebraska",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_19858
EONET_19851,wildfires,"Burn Unit 17 RX Prescribed Fire, Sherburne, Minnesota",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_19851
EONET_19853,wildfires,"Peacock 545 and 159 RX Prescribed Fire, Lake, Michigan",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_19853
EONET_19792,wildfires,"Crews Rd (10) Wildfire, Clay, Florida",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_19792
EONET_19797,wildfires,"RAILROAD COMPLEX Wildfire, Putnam, Florida",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_19797
EONET_19799,wildfires,"RAILROAD COMPLEX Wildfire, Putnam, Florida",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_19799
EONET_19857,wildfires,"River Road 16 RX Prescribed Fire, Iosco, Michigan",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_19857
EONET_19856,wildfires,"Barren Plains Units 1 &amp; 3 RX Prescribed Fire, Lake, Michigan",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_19856
EONET_19793,wildfires,"Pineland Rd Wildfire, Clinch, Georgia",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_19793
EONET_19801,wildfires,"rx-45_041526 Prescribed Fire, Burnett, Wisconsin",False,https://eonet.gsfc.nasa.gov/api/v3/events/EONET_19801
